target_id,uniprot_id,gene_symbol,gene_name,score_overall,max_clinical_phase,n_drugs,score_known_drug,score_rna_expression,score_genetic_literature,score_literature,score_genetic_association,score_animal_model,score_affected_pathway,has_clinical_trials,is_high_confidence,geneticConstraint,hasHighQualityChemicalProbes,expressionAtlas,target_success,max_pchembl,drug_count
ENSG00000159640,P12821,ACE,angiotensin I converting enzyme,0.6206966406201572,4,25,0.1215861595223242,0.0,0.607930797611621,0.940652613134852,0.8405136166229384,0.0,0.0,1,1,-0.1537782680639823,0.0,0.0,1,10.82,827
ENSG00000114200,P06276,BCHE,butyrylcholinesterase,0.620256792742029,4,2,0.9743378222804558,0.0,0.0,0.918750075160455,0.0,0.0,0.0,1,1,0.3825703254274684,0.0,0.0,1,10.95,4492
ENSG00000138613,Q8WW43,APH1B,aph-1B gamma-secretase subunit,0.6183318659098008,3,6,0.6432229884302734,0.0,0.0,0.3983780835729413,0.8474503741559389,0.0,0.0,1,1,0.5385548814120242,0.0,0.0,1,10.99,3429
ENSG00000273079,Q13224,GRIN2B,glutamate ionotropic receptor NMDA type subunit 2B,0.6109786599901247,4,27,0.9603610110018348,0.0327938938432379,0.0,0.8784747596128644,0.0,0.0,0.0,1,1,-0.9940430226144512,0.0,0.0327938938432379,1,9.22,2204
ENSG00000176749,Q15078,CDK5R1,cyclin dependent kinase 5 regulatory subunit 1,0.6074661348442697,0,0,0.0,0.0,0.0,0.8848189067542576,0.0,0.0,0.9549947196932794,0,1,-0.9352454495311638,0.0,0.0,0,9.17,31
ENSG00000010704,Q30201,HFE,homeostatic iron regulator,0.6048602773233976,0,0,0.0,0.0,0.607930797611621,0.7184806570656189,0.8270002910534164,0.0,0.0,0,1,0.1274131274131273,0.0,0.0,0,0.0,0
ENSG00000183454,Q12879,GRIN2A,glutamate ionotropic receptor NMDA type subunit 2A,0.5988088507002448,4,26,0.9604444034294908,0.0193796154633794,0.0,0.4824005687522008,0.0,0.0,0.0,1,0,-0.9111969111969112,1.0,0.0193796154633794,1,8.1,51
ENSG00000101224,P30305,CDC25B,cell division cycle 25B,0.5985275901516723,0,0,0.0,0.0,0.0,0.0841815285026092,0.0,0.0,0.7861293896877616,0,0,-0.5169332597904026,0.0,0.0,0,7.28,647
ENSG00000105464,O15399,GRIN2D,glutamate ionotropic receptor NMDA type subunit 2D,0.597221951945006,4,23,0.9603610110018348,0.0,0.0,0.4404750206490249,0.0,0.0,0.0,1,0,-0.5156094870380585,0.0,0.0,1,5.85,15
ENSG00000203710,P17927,CR1,complement C3b/C4b receptor 1 (Knops blood group),0.5958776464330214,0,0,0.0,0.0,0.0,0.8837580617426841,0.9359855784572244,0.0,0.0,0,0,-0.3288472145615002,0.0,0.0,0,0.0,0
ENSG00000146904,P21709,EPHA1,EPH receptor A1,0.5952292490307641,4,1,0.0,0.0,0.0,0.3651594305413166,0.8326927638845806,0.0,0.5531979966234456,1,0,0.0353006067291781,0.0,0.0,1,8.54,98
ENSG00000198785,Q8TCU5,GRIN3A,glutamate ionotropic receptor NMDA type subunit 3A,0.592248725176737,4,23,0.9603610110018348,0.0,0.0,0.2768634126236606,0.0,0.0,0.0,1,0,-0.506784335355764,0.0,0.0,1,0.0,0
ENSG00000161509,Q14957,GRIN2C,glutamate ionotropic receptor NMDA type subunit 2C,0.5919963523636346,4,23,0.9603610110018348,0.034241163161137,0.0,0.253342435603317,0.0,0.0,0.0,1,0,0.3366795366795367,0.0,0.034241163161137,1,6.1,51
ENSG00000030582,P28799,GRN,granulin precursor,0.5872056271568885,0,0,0.0,0.0,0.0,0.9337546239960292,0.7534653314264361,0.2661521031943677,0.0,0,0,-0.5810259238830667,0.0,0.0,0,7.7,33
ENSG00000113161,P04035,HMGCR,3-hydroxy-3-methylglutaryl-CoA reductase,0.5853767013041479,4,15,0.565670129798399,0.0093647193975708,0.0,0.7131850911796818,0.0,0.0,0.8055170751528565,1,0,-0.7436293436293436,1.0,0.0093647193975708,1,10.85,366
ENSG00000064687,Q8IZY2,ABCA7,ATP binding cassette subfamily A member 7,0.5802849303167739,0,0,0.0,0.0,0.607930797611621,0.9563556232283535,0.6677471958611345,0.0,0.0,0,0,0.5769442912300056,0.0,0.0,0,0.0,0
ENSG00000105383,P20138,CD33,CD33 molecule,0.5796367096477516,4,5,0.0,0.0,0.0,0.9217841891769448,0.7907495716891095,0.0,0.5688988359014587,1,0,0.188527302813017,0.0,0.0,1,0.0,0
ENSG00000118689,O43524,FOXO3,forkhead box O3,0.5736305023122766,0,0,0.0,0.0,0.0,0.7383476397812045,0.0,0.0,0.9066612367713316,0,0,-0.9167126309983452,0.0,0.0,0,4.42,1
ENSG00000095970,Q9NZC2,TREM2,triggering receptor expressed on myeloid cells 2,0.5724815273910075,0,0,0.0,0.0,0.0,0.9894320485676672,0.8922170398317504,0.0,0.0,0,0,0.4027578599007171,0.0,0.0,0,0.0,0
ENSG00000004779,O14561,NDUFAB1,NADH:ubiquinone oxidoreductase subunit AB1,0.5706018730212599,4,3,0.0,0.0701512135720814,0.0,0.2439695927363913,0.4746828296740998,0.0,0.8136276094564562,1,0,-0.5523441809156096,0.0,0.0701512135720814,1,6.06,18
ENSG00000147883,P42772,CDKN2B,cyclin dependent kinase inhibitor 2B,0.5571467940484545,0,0,0.0,0.0,0.0,0.0849271542552885,0.4011715824826065,0.0,0.8142840046102876,0,0,0.8688361831218974,0.0,0.0,0,0.0,0
ENSG00000136717,O00499,BIN1,bridging integrator 1,0.5536359878221929,0,0,0.0,0.0,0.0,0.9725955643286558,0.8620593824532746,0.0,0.0,0,0,-0.2583563154991726,0.0,0.0,0,0.0,0
ENSG00000082701,P49841,GSK3B,glycogen synthase kinase 3 beta,0.5524719158949241,4,5,0.1587374860430344,0.0168778653229125,0.0,0.950480026931076,0.0,0.0,0.8434018776286261,1,0,-0.6749034749034749,1.0,0.0168778653229125,1,10.89,8090
ENSG00000124762,P38936,CDKN1A,cyclin dependent kinase inhibitor 1A,0.5502875465751055,0,0,0.0,0.0,0.0,0.7944838161846892,0.0,0.0,0.865457038266544,0,0,0.6798676227247655,0.0,0.0,0,6.77,17
ENSG00000197746,P07602,PSAP,prosaposin,0.5478260449002683,0,0,0.0,0.0,0.0,0.5950792298969435,0.0,0.2664560685931735,0.865457038266544,0,0,-0.6805295091009377,0.0,0.0,0,5.16,2
ENSG00000197943,P16885,PLCG2,phospholipase C gamma 2,0.5447611002071141,0,0,0.0,0.0,0.0,0.8837740110157908,0.8519019438898575,0.0,0.0,0,0,-0.7297297297297297,0.0,0.0,0,8.92,16
ENSG00000120885,P10909,CLU,clusterin,0.5426097411545774,3,2,0.0,0.02558786498941,0.0,0.978201595472792,0.6744584985303708,0.0,0.0,1,0,-0.4158852730281301,0.0,0.02558786498941,1,0.0,0
ENSG00000166851,P53350,PLK1,polo like kinase 1,0.5419717155468247,3,7,0.0,0.0,0.0,0.5209056042911244,0.0,0.0,0.865457038266544,1,0,-0.9533370104798676,1.0,0.0,1,10.08,1658
ENSG00000135446,P11802,CDK4,cyclin dependent kinase 4,0.5419417943238982,4,17,0.0,0.0,0.0,0.5199212414970704,0.0,0.0,0.865457038266544,1,0,-0.5547710976282405,1.0,0.0,1,10.59,1717
ENSG00000166311,P17405,SMPD1,sphingomyelin phosphodiesterase 1,0.5416820358254651,0,0,0.0,0.0,0.0,0.8681494355852634,0.0,0.0,0.8476183455564804,0,0,0.1622724765581908,0.0,0.0,0,7.7,157
ENSG00000071051,O43639,NCK2,NCK adaptor protein 2,0.5411871507127486,0,0,0.0,0.0,0.0,0.205376492174208,0.788071023504808,0.0,0.3903072934014509,0,0,-0.3945945945945945,0.0,0.0,0,0.0,0
ENSG00000110077,Q9H2W1,MS4A6A,membrane spanning 4-domains A6A,0.5346230457874066,0,0,0.0,0.0,0.0,0.2363169918588717,0.8675984651412025,0.0,0.0,0,0,0.5428571428571429,0.0,0.0,0,0.0,0
ENSG00000167601,P30530,AXL,AXL receptor tyrosine kinase,0.5344077294780566,4,5,0.0,0.0,0.0,0.272061949767131,0.0,0.0,0.865457038266544,1,0,-0.5385548814120242,0.0,0.0,1,11.0,3159
ENSG00000168653,O43920,NDUFS5,NADH:ubiquinone oxidoreductase subunit S5,0.5339588476632112,4,3,0.0,0.0497634404440911,0.0,0.2480380074479778,0.0,0.0,0.8648140046499787,1,0,0.2191947049089906,0.0,0.0497634404440911,1,6.06,18
ENSG00000178999,Q96GD4,AURKB,aurora kinase B,0.5287759633031683,3,18,0.0,0.0,0.0,0.0867853953627875,0.0,0.0,0.865457038266544,1,0,-0.0199669056811914,1.0,0.0,1,11.0,3216
ENSG00000119421,P51970,NDUFA8,NADH:ubiquinone oxidoreductase subunit A8,0.5284709157316196,4,3,0.0,0.0587085089390639,0.0,0.0405928903138559,0.0,0.0,0.865457038266544,1,0,0.2445670159955875,0.0,0.0587085089390639,1,6.06,18
ENSG00000178127,P19404,NDUFV2,NADH:ubiquinone oxidoreductase core subunit V2,0.5277532415855091,4,3,0.0,0.0,0.0,0.1058736644943634,0.0,0.0,0.8628203252428481,1,0,-0.5637065637065637,0.0,0.0,1,6.06,18
ENSG00000073060,A0A7P0T913,SCARB1,scavenger receptor class B member 1,0.5276182686705879,0,0,0.0,0.0,0.0,0.3211786508847038,0.4481517044278096,0.0,0.748716758811487,0,0,-0.4216216216216216,0.0,0.0,0,0.0,0
ENSG00000164167,P62312,LSM6,"LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated",0.5268771472813407,0,0,0.0,0.0,0.0,0.0243172319044648,0.0,0.0,0.865457038266544,0,0,0.0,0.0,0.0,0,0.0,0
ENSG00000147889,P42771,CDKN2A,cyclin dependent kinase inhibitor 2A,0.5262879367200846,0,0,0.0,0.0,0.0,0.8484717981498209,0.0540054967732878,0.0,0.8172794925690077,0,0,-0.2999448428019856,0.0,0.0,0,0.0,0
ENSG00000129757,P49918,CDKN1C,cyclin dependent kinase inhibitor 1C,0.5250486731811728,0,0,0.0,0.0,0.0,0.0711160824439394,0.0,0.0,0.8601093946865037,0,0,0.972972972972973,0.0,0.0,0,0.0,0
ENSG00000170312,P06493,CDK1,cyclin dependent kinase 1,0.5248745038218616,3,12,0.0,0.0,0.0,0.4301570630446804,0.0,0.0,0.8418708502856196,1,0,-0.6135686707115279,1.0,0.0,1,10.0,1758
ENSG00000058729,Q9BVS4,RIOK2,RIO kinase 2,0.5244154452261425,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8626235869056388,0,0,0.0711527854384996,0.0,0.0,0,8.21,80
ENSG00000023228,P28331,NDUFS1,NADH:ubiquinone oxidoreductase core subunit S1,0.5232633839227692,4,3,0.0,0.0316856430318785,0.0,0.0612968199749177,0.0,0.0,0.8569595671417235,1,0,-0.2271373414230557,0.0,0.0316856430318785,1,6.06,18
ENSG00000100330,Q13615,MTMR3,myotubularin related protein 3,0.5232084476516636,0,0,0.0,0.0,0.0,0.0,0.132707216523493,0.0,0.8274613634158176,0,0,-0.8843905129619415,0.0,0.0,0,0.0,0
ENSG00000134824,O95864,FADS2,fatty acid desaturase 2,0.5223880919158287,0,0,0.0,0.0,0.0,0.1509814098421917,0.384080420791735,0.0,0.7599134970145264,0,0,-0.7777164920022063,0.0,0.0,0,6.39,2
ENSG00000198563,Q13838,DDX39B,DExD-box helicase 39B,0.5221986921984005,0,0,0.0,0.0304204648625673,0.0,0.6167964550767906,0.0,0.0,0.8274613634158176,0,0,-0.9450634307777164,0.0,0.0304204648625673,0,6.02,4
ENSG00000147416,P21281,ATP6V1B2,ATPase H+ transporting V1 subunit B2,0.5211752723946863,0,0,0.0,0.0940238813686302,0.0,0.0666190832382734,0.0,0.0,0.8511121304938736,0,0,-0.7335907335907336,0.0,0.0940238813686302,0,7.68,3
ENSG00000010256,P31930,UQCRC1,ubiquinol-cytochrome c reductase core protein 1,0.5183860713313272,0,0,0.0,0.043122851094602,0.0,0.6486591694859206,0.0,0.0,0.8193144806235529,0,0,-0.3457253171538885,0.0,0.043122851094602,0,8.29,4
ENSG00000114573,P38606,ATP6V1A,ATPase H+ transporting V1 subunit A,0.5182959504544525,0,0,0.0,0.0233171734819987,0.0,0.6544968528832765,0.0,0.0,0.8193144806235529,0,0,-0.8045228902371759,0.0,0.0233171734819987,0,5.79,2
ENSG00000087586,O14965,AURKA,aurora kinase A,0.5155123056568938,3,18,0.0,0.0,0.0,0.5595918557181969,0.0,0.0,0.8199990055713176,1,0,-0.6572531715388858,1.0,0.0,1,11.0,4166
ENSG00000198087,Q9Y5K6,CD2AP,CD2 associated protein,0.5136010592615005,0,0,0.0,0.0,0.0,0.9058846598895794,0.7995405101691935,0.0,0.0,0,0,-0.2617760617760618,0.0,0.0,0,0.0,0
ENSG00000005381,P05164,MPO,myeloperoxidase,0.511754493198146,3,1,0.0,0.0,0.0,0.8408558506279664,0.7997544896735449,0.0,0.0,1,0,0.0410369553226697,0.0,0.0,1,9.0,965
ENSG00000158864,O75306,NDUFS2,NADH:ubiquinone oxidoreductase core subunit S2,0.5110539411128694,4,3,0.0,0.0,0.0,0.0785163564276754,0.0,0.0,0.8367191093983722,1,0,-0.4487589630446773,0.0,0.0,1,7.48,8
ENSG00000115020,Q9Y2I7,PIKFYVE,"phosphoinositide kinase, FYVE-type zinc finger containing",0.5089489781100042,2,1,0.0,0.0275751012394466,0.0,0.3925271224000752,0.0,0.0,0.8169432867688655,1,0,-0.6621070049641478,1.0,0.0275751012394466,1,10.12,131
ENSG00000164615,P49069,CAMLG,calcium modulating ligand,0.5075988192398417,0,0,0.0,0.0,0.0,0.4407498282684252,0.0,0.0,0.812924022683325,0,0,0.4239382239382239,0.0,0.0,0,0.0,0
ENSG00000139180,Q16795,NDUFA9,NADH:ubiquinone oxidoreductase subunit A9,0.5061718779111514,4,3,0.0,0.0,0.0,0.1826493273595,0.0,0.0,0.8234818375951567,1,0,-0.3141753998896855,0.0,0.0,1,6.06,18
ENSG00000131408,P55055,NR1H2,nuclear receptor subfamily 1 group H member 2,0.5047490624709965,2,5,0.0,0.0,0.0,0.0934258165656133,0.0,0.0,0.8256025897745858,1,0,-0.1161610590182018,1.0,0.0,1,9.22,1986
ENSG00000113712,P48729,CSNK1A1,casein kinase 1 alpha 1,0.5040358168138124,0,0,0.0,0.0545414122164036,0.0,0.2322045904092008,0.0,0.0,0.8162783847527069,0,0,-0.8535024820739107,0.0,0.0545414122164036,0,9.0,472
ENSG00000073921,Q13492,PICALM,phosphatidylinositol binding clathrin assembly protein,0.5030910866104019,0,0,0.0,0.0,0.0,0.9222684497092316,0.7814332137219766,0.0,0.0,0,0,-0.508108108108108,0.0,0.0,0,4.55,2
ENSG00000023516,Q9UKA4,AKAP11,A-kinase anchoring protein 11,0.5030645574681958,0,0,0.0,0.0,0.0,0.0121586159522324,0.0,0.0,0.8268950669853377,0,0,-0.8720353006067292,0.0,0.0,0,0.0,0
ENSG00000120539,Q96GX5,MASTL,microtubule associated serine/threonine kinase like,0.5030392466541774,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8274613634158176,0,0,-0.30711527854385,0.0,0.0,0,10.74,9
ENSG00000143374,Q9BW92,TARS2,"threonyl-tRNA synthetase 2, mitochondrial",0.5030392466541774,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8274613634158176,0,0,-0.3520132377275234,0.0,0.0,0,8.23,2
ENSG00000155097,P21283,ATP6V1C1,ATPase H+ transporting V1 subunit C1,0.5029313970500541,0,0,0.0,0.0411192292905212,0.0,0.0151982699402905,0.0,0.0,0.8248902582098572,0,0,0.3353557639271924,0.0,0.0411192292905212,0,0.0,0
ENSG00000167258,Q9NYV4,CDK12,cyclin dependent kinase 12,0.5016300431916646,2,4,0.0,0.0,0.0,0.0121586159522324,0.0,0.0,0.8245353999275623,1,0,-0.950468836183122,1.0,0.0,1,5.66,1
ENSG00000103510,Q9H7Z6,KAT8,lysine acetyltransferase 8,0.4994164242770699,0,0,0.0,0.0,0.0,0.502182003833403,0.2017159943916113,0.0,0.7599134970145264,0,0,-0.2015444015444015,0.0,0.0,0,7.77,428
ENSG00000168918,Q92835,INPP5D,inositol polyphosphate-5-phosphatase D,0.4994146702508247,3,1,0.0,0.0,0.0,0.8853155838152121,0.7772334312668707,0.0,0.0,1,0,-0.8156646442360728,0.0,0.0,1,5.6,3
ENSG00000143393,Q9UBF8,PI4KB,phosphatidylinositol 4-kinase beta,0.4993421627252597,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8213799410837981,0,0,-0.7713182570325428,0.0,0.0,0,9.01,506
ENSG00000087589,Q9NQ75,CASS4,Cas scaffold protein family member 4,0.4987011726477731,0,0,0.0,0.0,0.0,0.2521713791073562,0.8077169921233297,0.0,0.0,0,0,-0.6551571980143409,0.0,0.0,0,0.0,0
ENSG00000141510,P04637,TP53,tumor protein p53,0.4985158260455752,3,9,0.0,0.0,0.0,0.9533884066896602,0.1119398637871351,0.0,0.7599134970145264,1,0,-0.7412024269167126,0.0,0.0,1,8.96,26224
ENSG00000099795,P17568,NDUFB7,NADH:ubiquinone oxidoreductase subunit B7,0.4981214124775582,4,3,0.0,0.1065639668812904,0.0,0.0334361938686391,0.0,0.0,0.8133006747472032,1,0,0.976061776061776,0.0,0.1065639668812904,1,5.15,2
ENSG00000139505,Q9Y217,MTMR6,myotubularin related protein 6,0.4976720716320659,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8186327680506912,0,0,-0.2870380584666299,0.0,0.0,0,0.0,0
ENSG00000180596,P62807,H2BC4,H2B clustered histone 4,0.4953245841496741,0,0,0.0,0.0,0.0,0.0,0.8147713293941626,0.0,0.0,0,0,0.965361279646994,0.0,0.0,0,0.0,0
ENSG00000130294,Q12756,KIF1A,kinesin family member 1A,0.4934398645128667,0,0,0.0,0.058920003142902,0.0,0.3467610480152284,0.0,0.0,0.7930237229002853,0,0,-0.88284611141754,0.0,0.058920003142902,0,0.0,0
ENSG00000165733,Q14692,BMS1,BMS1 ribosome biogenesis factor,0.4900722624375334,0,0,0.0,0.0,0.0,0.1409250029018423,0.1723459810283669,0.0,0.7599134970145264,0,0,-0.680419194704909,0.0,0.0,0,0.0,0
ENSG00000164733,P07858,CTSB,cathepsin B,0.4899181715213121,0,0,0.0,0.0,0.0,0.887331716342225,0.7615116053290761,0.0,0.0,0,0,0.82426916712631,0.0,0.0,0,10.52,1532
ENSG00000198793,P42345,MTOR,mechanistic target of rapamycin kinase,0.4896117363819076,4,25,0.0,0.0,0.0,0.9092126319182264,0.0,0.0,0.7599134970145264,1,0,-0.9104247104247104,1.0,0.0,1,10.3,6326
ENSG00000204386,Q99519,NEU1,neuraminidase 1,0.4885443143025273,0,0,0.0,0.0,0.0,0.8740960665599992,0.0,0.0,0.7599134970145264,0,0,0.1417539988968561,0.0,0.0,0,7.28,111
ENSG00000114026,O15527,OGG1,8-oxoguanine DNA glycosylase,0.4877638979811488,0,0,0.0,0.0,0.0,0.8484215547752847,0.0,0.0,0.7599134970145264,0,0,0.2289023717595146,0.0,0.0,0,7.23,35
ENSG00000051382,P42338,PIK3CB,"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta",0.486866265618896,3,27,0.0,0.0,0.0,0.8379748617486885,0.0,0.0,0.7589592945899599,1,0,-0.8724765581908439,1.0,0.0,1,10.7,3919
ENSG00000163513,P37173,TGFBR2,transforming growth factor beta receptor 2,0.4830081538169303,0,0,0.0,0.0,0.0,0.69196479414061,0.0,0.0,0.7599134970145264,0,0,-0.653061224489796,0.0,0.0,0,9.51,468
ENSG00000042753,P53680,AP2S1,adaptor related protein complex 2 subunit sigma 1,0.4828052979908348,0,0,0.0,0.0489540364926302,0.0,0.3593437004885991,0.1129571754282885,0.0,0.7573414194114585,0,0,-0.7110865968008826,0.0,0.0489540364926302,0,7.75,4
ENSG00000067533,Q9Y3B9,RRP15,ribosomal RNA processing 15 homolog,0.4813346513039723,0,0,0.0,0.0,0.0,0.0,0.1279510626586677,0.0,0.7597711864973107,0,0,-0.0328736900165471,0.0,0.0,0,5.93,2
ENSG00000099194,O00767,SCD,stearoyl-CoA desaturase,0.4805772437511666,0,0,0.0,0.0441300720634165,0.0,0.5923781793462937,0.0,0.0,0.7599134970145264,0,0,-0.9292884721456148,0.0,0.0441300720634165,0,10.52,911
ENSG00000094755,O00591,GABRP,gamma-aminobutyric acid type A receptor subunit pi,0.4797656694900066,4,16,0.1367844294626147,0.0,0.0,0.0364758478566972,0.0,0.0,0.7541714144531904,1,0,0.5623827909542196,0.0,0.0,1,10.0,511
ENSG00000082898,O14980,XPO1,exportin 1,0.4782781656208594,4,1,0.0,0.0,0.0,0.5363553657433769,0.0,0.0,0.7599134970145264,1,0,-0.9977937120794264,0.0,0.0,1,9.0,110
ENSG00000184967,Q9BVI4,NOC4L,nucleolar complex associated 4 homolog,0.4771552769408291,0,0,0.0,0.0,0.0,0.0182379239283486,0.114991010588487,0.0,0.7557311588419362,0,0,-0.0079426365140651,0.0,0.0,0,0.0,0
ENSG00000075785,P51149,RAB7A,"RAB7A, member RAS oncogene family",0.4748243557925976,0,0,0.0,0.0,0.0,0.7893399932153335,0.0,0.0,0.7415830107319309,0,0,-0.9290678433535576,0.0,0.0,0,7.66,61
ENSG00000106799,P36897,TGFBR1,transforming growth factor beta receptor 1,0.4744478986154221,2,2,0.0,0.0434822889049946,0.0,0.6490595233203802,0.0,0.0,0.7470115176690084,1,0,-0.678323221180364,1.0,0.0434822889049946,1,9.85,4011
ENSG00000196396,P18031,PTPN1,protein tyrosine phosphatase non-receptor type 1,0.4733917275759063,0,0,0.0,0.0,0.0,0.3755989749123665,0.0,0.0,0.7599134970145264,0,0,-0.8699393270821842,1.0,0.0,0,10.0,4546
ENSG00000176444,P49760,CLK2,CDC like kinase 2,0.4733502874211701,0,0,0.0,0.0,0.0,0.052265161627999,0.2098126900611926,0.0,0.7250106593008072,0,0,-0.9072255929398788,1.0,0.0,0,10.02,1798
ENSG00000141367,Q00610,CLTC,clathrin heavy chain,0.4728839712670384,0,0,0.0,0.0601343218685865,0.0,0.3321681981859146,0.0,0.0,0.7599134970145264,0,0,-0.9931605074462218,0.0,0.0601343218685865,0,7.72,20
ENSG00000131238,P50897,PPT1,palmitoyl-protein thioesterase 1,0.4727632847575055,0,0,0.0,0.0248082258516668,0.0,0.4755635173611098,0.0,0.0,0.7533302352676176,0,0,-0.3928295642581356,0.0,0.0248082258516668,0,5.7,6
ENSG00000110717,O00217,NDUFS8,NADH:ubiquinone oxidoreductase core subunit S8,0.4691093215541423,4,3,0.0,0.1039311058299512,0.0,0.1885227177326837,0.0,0.0,0.7599134970145264,1,0,-0.3258687258687258,0.0,0.1039311058299512,1,6.06,18
ENSG00000119616,Q9Y324,FCF1,FCF1 rRNA-processing protein,0.4690379000231848,0,0,0.0,0.0,0.0,0.2323646604204418,0.0,0.0,0.7599134970145264,0,0,0.0853833425261996,0.0,0.0,0,0.0,0
ENSG00000179526,Q9H0F6,SHARPIN,SHANK associated RH domain interactor,0.4688818873963715,0,0,0.0,0.0,0.0,0.3618469745350522,0.7531827523842106,0.0,0.0,0,0,-0.1145063430777716,0.0,0.0,0,6.29,1
ENSG00000147684,Q9Y6M9,NDUFB9,NADH:ubiquinone oxidoreductase subunit B9,0.4688652507665982,4,3,0.0,0.0353433481711341,0.0,0.0426193263058947,0.0,0.0,0.7683313610658259,1,0,0.3357970215113073,0.0,0.0353433481711341,1,6.06,18
ENSG00000204569,Q96QC0,PPP1R10,protein phosphatase 1 regulatory subunit 10,0.4686893597488367,0,0,0.0,0.0330937931684938,0.0,0.2061898621899414,0.0,0.0,0.7599134970145264,0,0,-0.9299503585217872,0.0,0.0330937931684938,0,6.04,1
ENSG00000128609,Q16718,NDUFA5,NADH:ubiquinone oxidoreductase subunit A5,0.4685556494443896,4,3,0.0,0.0601701366441364,0.0,0.2250364578746403,0.0,0.0,0.758149527410833,1,0,0.6111417539988968,0.0,0.0601701366441364,1,6.06,18
ENSG00000196743,P17900,GM2A,ganglioside GM2 activator,0.4684157194612444,0,0,0.0,0.0,0.0,0.2118958648145991,0.0,0.0,0.7599134970145264,0,0,-0.0002206287920573,0.0,0.0,0,0.0,0
ENSG00000161203,Q96CW1,AP2M1,adaptor related protein complex 2 subunit mu 1,0.467972398868533,0,0,0.0,0.1262915963837994,0.0,0.1411816921757473,0.0,0.0,0.7599134970145264,0,0,-0.966685052399338,0.0,0.1262915963837994,0,5.29,3
ENSG00000149084,Q53GQ0,HSD17B12,hydroxysteroid 17-beta dehydrogenase 12,0.467953776078164,0,0,0.0,0.0,0.0,0.1966986290471311,0.0,0.0,0.7599134970145264,0,0,0.5236624379481523,0.0,0.0,0,8.27,5
ENSG00000122218,P53621,COPA,coat protein complex I subunit alpha,0.4663328321395697,0,0,0.0,0.0,0.0,0.1433720351334006,0.0,0.0,0.7599134970145264,0,0,-0.9953667953667954,0.0,0.0,0,6.9,4
